row,task_for,seg_id,stname,lanes,divided_roadway,bike_lane_type_simple,parking,sidewalk_status,check_year,curb_to_curb_width,traffic_lanes_width,shoulder_width,notes
253,Christine,420195,POPLAR ST,1,FALSE,None,Both sides,Both sides,,26,14,0,
254,Christine,442254,RIDGE AVE,2,FALSE,None,One side,Both sides,,34,26,0,
255,Christine,440234,N 13TH ST,1,FALSE,Painted,Both sides,Both sides,2022,40,20,3,
256,Christine,543299,N 13TH ST,1,FALSE,Separated,Both sides,Both sides,,42,12,18,
257,Christine,420115,N 17TH ST,1,FALSE,None,Both sides,Both sides,,26,12,0,
258,Christine,420088,W THOMPSON ST,1,FALSE,None,Both sides,Both sides,,24,14,0,
259,Christine,421458,RIDGE AVE,2,FALSE,None,One side,Both sides,,34,26,0,
260,Christine,441939,POPLAR ST,1,FALSE,None,Both sides,Both sides,,26,12,0,
261,Christine,440059,W GIRARD AVE,4,TRUE,None,Both sides,Both sides,,84,44,0,
113,Demi,620674,WAYNE AVE,2,FALSE,Sharrow,Both sides,Both sides,,42,25,0,
114,Demi,620819,PULASKI AVE,2,FALSE,None,Both sides,Both sides,,37,20,0,
115,Demi,620862,MORRIS ST,1,FALSE,None,Both sides,Both sides,,42,22,0,
116,Demi,620831,MORRIS ST,2,FALSE,None,One side,Both sides,,26,20,0,
117,Demi,620825,MORRIS ST,2,FALSE,None,None,Both sides,,37,20,0,
118,Demi,620693,BERKLEY ST,3,FALSE,Sharrow,One side,Both sides,,38,21,17,
119,Demi,620348,W HUNTING PARK AVE,4,TRUE,None,One side,Both sides,,61,46,8,
120,Demi,620679,WAYNE AVE,2,FALSE,Sharrow,Both sides,Both sides,,42,24,0,
121,Demi,640812,N 9TH ST,2,FALSE,None,Both sides,Both sides,,43,30,0,
122,Demi,640132,N 5TH ST,2,FALSE,Painted,Both sides,Both sides,,51,23,0,
123,Demi,640773,W BRISTOL ST,2,FALSE,None,Both sides,Both sides,,36,24,0,
124,Demi,640494,RISING SUN AVE,2,FALSE,Painted,Both sides,Both sides,,46,22,0,
125,Demi,640366,E WYOMING AVE,2,FALSE,Sharrow,One side,Both sides,,46,22,0,
126,Demi,642633,WHITAKER AVE,4,TRUE,None,None,Both sides,,74,48,16,
