row,task_for,seg_id,stname,lanes,divided_roadway,bike_lane_type_simple,parking,sidewalk_status,check_year,curb_to_curb_width,traffic_lanes_width,shoulder_width,notes
299,Chi-Hyun,422344,N 18TH ST,1,FALSE,Painted,One side,Both sides,,26,10,0,
300,Chi-Hyun,421398,BENJAMIN FRANKLIN PKWY,5,FALSE,Painted,One side,Both sides,,81,50,10,
301,Chi-Hyun,420708,CALLOWHILL ST,2,FALSE,None,Both sides,Both sides,,38,22,0,
302,Chi-Hyun,421839,N 15TH ST,4,FALSE,Painted,None,One side,,46,40,0,
303,Chi-Hyun,420887,N 15TH ST,3,FALSE,Separated,One side,Both sides,,46,31,0,
304,Chi-Hyun,440953,N 13TH ST,1,FALSE,Painted,One side,Both sides,2022,26,10,0,
305,Chi-Hyun,440972,N 13TH ST,1,FALSE,Painted,One side,Both sides,2023,28,19,0,
306,Chi-Hyun,440317,RIDGE AVE,2,FALSE,None,Both sides,Both sides,,35,26,0,
307,Chi-Hyun,421837,N 15TH ST,2,FALSE,Painted,None,Both sides,,27,20,0,
308,Chi-Hyun,441156,N 6TH ST,1,FALSE,None,Both sides,Both sides,,29,12,0,
309,Chi-Hyun,441917,N 5TH ST,1,FALSE,None,One side,One side,,24,16,0,
310,Chi-Hyun,441685,VINE ST,3,FALSE,None,None,One side,,34,34,0,
311,Chi-Hyun,441491,N 5TH ST,2,FALSE,Separated,Both sides,Both sides,,48,23,0,
312,Chi-Hyun,441403,N 6TH ST,2,FALSE,Separated,Both sides,Both sides,,48,23,0,
313,Chi-Hyun,440809,N 10TH ST,1,FALSE,Separated,One side,Both sides,,27,9,0,
314,Chi-Hyun,441443,N 9TH ST,1,FALSE,None,Both sides,Both sides,,26,10,0,
315,Chi-Hyun,440759,N 5TH ST,2,FALSE,None,Both sides,Both sides,,45,29,0,
316,Chi-Hyun,441328,N 2ND ST,2,FALSE,Separated,One side,One side,,34,18,0,
317,Chi-Hyun,440892,N 2ND ST,1,FALSE,Separated,None,Both sides,,37,10,20,
318,Chi-Hyun,300587,CEDAR AVE,2,FALSE,None,Both sides,Both sides,,44,30,0,
319,Chi-Hyun,320231,S 48TH ST,2,FALSE,None,Both sides,Both sides,,44,30,0,
320,Chi-Hyun,320040,S 47TH ST,2,FALSE,None,Both sides,Both sides,,35,20,0,
321,Chi-Hyun,320119,S 45TH ST,2,FALSE,None,Both sides,Both sides,,40,24,0,
322,Chi-Hyun,420982,S 42ND ST,2,FALSE,None,Both sides,Both sides,,44,28,0,
323,Chi-Hyun,320141,S 46TH ST,2,FALSE,None,Both sides,Both sides,,40,26,0,
324,Chi-Hyun,320291,S 46TH ST,2,FALSE,None,Both sides,Both sides,,40,26,0,
325,Chi-Hyun,423105,SPRUCE ST,2,FALSE,Painted,Both sides,Both sides,,45,20,0,
326,Chi-Hyun,322707,BALTIMORE AVE,2,FALSE,Painted,Both sides,Both sides,,44,20,0,
327,Chi-Hyun,322725,WOODLAND AVE,2,FALSE,Separated,None,Both sides,,40,20,0,
328,Chi-Hyun,422150,S 34TH ST,2,FALSE,Painted,None,Both sides,,30,22,0,
329,Chi-Hyun,421966,S 34TH ST,2,FALSE,Sharrow,None,One side,,31,26,5,
330,Chi-Hyun,421944,S 23RD ST,2,FALSE,None,One side,Both sides,,26,19,0,
331,Chi-Hyun,422193,MARKET ST,5,FALSE,None,None,Both sides,,62,50,0,
332,Chi-Hyun,423240,S 30TH ST,1,FALSE,Painted,One side,Both sides,,36,12,6,
333,Chi-Hyun,421289,CHESTNUT ST,2,FALSE,Separated,One side,Both sides,,36,20,0,
334,Chi-Hyun,423386,MARKET ST,5,FALSE,None,One side,Both sides,,60,52,0,
335,Chi-Hyun,423378,CHESTNUT ST,2,FALSE,Separated,One side,Both sides,,36,20,0,
336,Chi-Hyun,422233,S SCHUYLKILL AVE W,2,TRUE,None,Both sides,Both sides,,48,26,0,
337,Chi-Hyun,421981,N 16TH ST,4,FALSE,None,One side,Both sides,,46,38,0,
338,Chi-Hyun,421317,MARKET ST,3,FALSE,Separated,Both sides,Both sides,,62,33,0,
339,Chi-Hyun,421373,JOHN F KENNEDY BLVD,3,FALSE,Separated,Both sides,Both sides,,69,33,0,
340,Chi-Hyun,421167,S 15TH ST,2,FALSE,None,One side,Both sides,,26,18,0,
341,Chi-Hyun,320733,S 20TH ST,2,FALSE,None,One side,Both sides,,26,19,0,
342,Chi-Hyun,421343,N 19TH ST,2,FALSE,None,None,Both sides,,26,26,0,
343,Chi-Hyun,421178,S 16TH ST,2,FALSE,None,One side,Both sides,,26,19,0,
344,Chi-Hyun,421136,CHESTNUT ST,2,FALSE,Sharrow,One side,Both sides,,28,20,0,
345,Chi-Hyun,320741,PINE ST,1,FALSE,Painted,One side,Both sides,,27,11,0,
346,Chi-Hyun,440633,S 13TH ST,1,FALSE,Painted,One side,Both sides,2022,26,10,3,
347,Chi-Hyun,440572,S 13TH ST,1,FALSE,Painted,One side,Both sides,2022,26,10,3,
348,Chi-Hyun,440559,S 10TH ST,1,FALSE,Separated,One side,Both sides,,26,10,0,
349,Chi-Hyun,340116,S 10TH ST,1,FALSE,Separated,One side,Both sides,,26,10,0,
350,Chi-Hyun,421138,CHESTNUT ST,2,FALSE,Sharrow,One side,Both sides,,28,20,0,
351,Chi-Hyun,441279,ARCH ST,2,FALSE,Sharrow,Both sides,Both sides,,40,21,0,
352,Chi-Hyun,441286,N 10TH ST,1,FALSE,Painted,None,Both sides,,30,10,15,
353,Chi-Hyun,441064,ARCH ST,2,FALSE,Sharrow,Both sides,Both sides,,40,21,0,
354,Chi-Hyun,440514,WALNUT ST,2,FALSE,None,One side,Both sides,,26,18,0,
355,Chi-Hyun,441071,WALNUT ST,2,FALSE,None,One side,Both sides,,26,18,0,
356,Chi-Hyun,441217,RACE ST,2,FALSE,Painted,Both sides,Both sides,,46,22,0,
357,Chi-Hyun,441718,N INDEPENDENCE MALL E,1,FALSE,Separated,None,One side,,20,11,0,
358,Chi-Hyun,441168,N INDEPENDENCE MALL W,3,FALSE,Separated,One side,Both sides,,45,30,0,
359,Chi-Hyun,441042,RACE ST,3,FALSE,Separated,Both sides,Both sides,,71,33,4,
360,Chi-Hyun,440558,WALNUT ST,2,FALSE,None,One side,Both sides,,26,17,0,
361,Chi-Hyun,440652,S 5TH ST,2,FALSE,None,One side,Both sides,,26,18,0,
362,Chi-Hyun,440916,N 3RD ST,1,FALSE,None,Both sides,Both sides,,26,12,0,
363,Chi-Hyun,441174,S INDEPENDENCE MALL E,2,FALSE,Painted,One side,Both sides,,45,23,0,
364,Chi-Hyun,440537,WALNUT ST,2,FALSE,None,One side,Both sides,,26,16,0,
365,Chi-Hyun,441283,ARCH ST,2,FALSE,Sharrow,Both sides,Both sides,,37,22,0,
366,Chi-Hyun,440379,ARCH ST,2,FALSE,Sharrow,Both sides,Both sides,,37,22,0,
367,Chi-Hyun,441157,S 6TH ST,2,FALSE,None,One side,Both sides,,27,20,0,
368,Chi-Hyun,440532,WALNUT ST,2,FALSE,None,One side,Both sides,,25,17,0,
369,Chi-Hyun,440584,WALNUT ST,1,FALSE,None,Both sides,Both sides,,26,12,0,
370,Chi-Hyun,441300,S FRONT ST,2,FALSE,None,Both sides,Both sides,,49,26,0,
371,Chi-Hyun,440509,S FRONT ST,2,FALSE,None,Both sides,Both sides,,40,24,0,
372,Chi-Hyun,441574,N CHRISTOPHER COLUMBUS BLVD,6,TRUE,Separated,One side,Both sides,,113,66,0,
373,Chi-Hyun,441420,ARCH ST,2,FALSE,Sharrow,Both sides,Both sides,,37,21,0,
374,Chi-Hyun,300203,S 57TH ST,2,FALSE,None,Both sides,Both sides,,40,26,0,
375,Chi-Hyun,320561,KINGSESSING AVE,2,FALSE,Painted,Both sides,Both sides,,44,25,0,
376,Chi-Hyun,320252,S 52ND ST,2,FALSE,None,Both sides,Both sides,,50,33,0,
377,Chi-Hyun,323629,LINDBERGH BLVD,2,FALSE,None,Both sides,Both sides,,47,21,5,
378,Chi-Hyun,322718,S 47TH ST,2,FALSE,None,Both sides,Both sides,,40,25,0,
379,Chi-Hyun,322114,GRAYS FERRY AVE,5,FALSE,Painted,None,Both sides,,68,58,0,
380,Chi-Hyun,322901,WARFIELD ST,2,FALSE,None,None,None,,32,32,0,
381,Chi-Hyun,321731,S 28TH ST,1,FALSE,None,Both sides,Both sides,,28,11,0,
382,Chi-Hyun,321579,GRAYS FERRY AVE,4,TRUE,Painted,None,Both sides,2022,82,46,12,
383,Chi-Hyun,321208,FEDERAL ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
384,Chi-Hyun,321474,CARPENTER ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
385,Chi-Hyun,321459,WASHINGTON AVE,5,FALSE,Painted,Both sides,Both sides,,79,50,0,
386,Chi-Hyun,321186,CHRISTIAN ST,2,FALSE,None,Both sides,Both sides,,36,20,0,
387,Chi-Hyun,321204,ELLSWORTH ST,1,FALSE,None,Both sides,Both sides,,26,10,0,
388,Chi-Hyun,322743,WASHINGTON AVE,5,FALSE,Painted,Both sides,Both sides,,79,61,0,
389,Chi-Hyun,321201,WASHINGTON AVE,5,FALSE,Painted,Both sides,Both sides,,79,50,0,
390,Chi-Hyun,320884,BAINBRIDGE ST,1,FALSE,None,Both sides,Both sides,,26,10,0,
391,Chi-Hyun,340321,S 13TH ST,1,FALSE,Painted,One side,Both sides,2022,26,13,0,
392,Chi-Hyun,340419,FITZWATER ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
393,Chi-Hyun,342176,S 11TH ST,1,FALSE,None,One side,Both sides,,26,19,0,
394,Chi-Hyun,340849,S 11TH ST,2,FALSE,Separated,Both sides,Both sides,,70,21,0,
395,Chi-Hyun,340834,WASHINGTON AVE,5,FALSE,Separated,Both sides,Both sides,,76,60,0,
396,Chi-Hyun,340633,CARPENTER ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
397,Chi-Hyun,340606,S 11TH ST,2,FALSE,Separated,Both sides,Both sides,,70,21,0,
398,Chi-Hyun,340836,WASHINGTON AVE,4,FALSE,Separated,Both sides,Both sides,,73,41,0,
399,Chi-Hyun,342473,WASHINGTON AVE,5,TRUE,Painted,One side,Both sides,,62,50,0,
400,Chi-Hyun,342463,S 12TH ST,1,FALSE,None,Both sides,Both sides,,26,10,0,
401,Chi-Hyun,340212,LOMBARD ST,2,FALSE,None,One side,Both sides,,25,18,0,
402,Chi-Hyun,340261,S 2ND ST,1,FALSE,None,Both sides,Both sides,,25,18,0,
403,Chi-Hyun,341972,S 2ND ST,1,FALSE,None,Both sides,Both sides,,25,18,0,
404,Chi-Hyun,340481,S 6TH ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
405,Chi-Hyun,342016,WASHINGTON AVE,3,FALSE,Separated,Both sides,Both sides,,74,32,0,
406,Chi-Hyun,342572,S 2ND ST,1,FALSE,None,Both sides,Both sides,,26,13,0,
407,Chi-Hyun,340284,SOUTH ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
408,Chi-Hyun,441310,S CHRISTOPHER COLUMBUS BLVD,7,TRUE,Separated,None,Both sides,,105,64,6,
409,Chi-Hyun,342265,S CHRISTOPHER COLUMBUS BLVD,7,TRUE,Separated,None,Both sides,,114,66,13,
410,Chi-Hyun,340256,S FRONT ST,1,FALSE,Painted,Both sides,Both sides,,33,11,2,
411,Chi-Hyun,200700,COBBS CREEK PKWY,2,FALSE,None,Both sides,One side,,39,22,17,
412,Chi-Hyun,320455,LINDBERGH BLVD,4,TRUE,None,Both sides,One side,,89,49,16,
413,Chi-Hyun,321754,S 27TH ST,1,FALSE,None,Both sides,Both sides,,26,12,0,
414,Chi-Hyun,321481,SNYDER AVE,2,FALSE,None,Both sides,Both sides,,37,21,0,
415,Chi-Hyun,321527,TASKER ST,1,FALSE,None,Both sides,Both sides,,25,11,0,
416,Chi-Hyun,341197,S 10TH ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
417,Chi-Hyun,342587,FEDERAL ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
418,Chi-Hyun,341159,S 6TH ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
419,Chi-Hyun,340043,S WATER ST,2,FALSE,None,One side,Both sides,,26,18,0,
420,Chi-Hyun,340765,S 5TH ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
421,Chi-Hyun,341332,S 5TH ST,1,FALSE,None,Both sides,Both sides,,26,11,0,
422,Chi-Hyun,341945,REED ST,4,FALSE,None,One side,Both sides,,57,44,0,
423,Chi-Hyun,342288,S CHRISTOPHER COLUMBUS BLVD,6,TRUE,Painted,None,Both sides,,118,64,0,
424,Chi-Hyun,200459,S 67TH ST,2,FALSE,None,Both sides,Both sides,,39,25,0,
425,Chi-Hyun,220621,LINDBERGH BLVD,4,TRUE,Painted,One side,Both sides,,72,44,3,
426,Chi-Hyun,220406,VARE AVE,4,TRUE,Painted,Both sides,One side,,85,48,0,
427,Chi-Hyun,220148,OREGON AVE,4,TRUE,Painted,Both sides,Both sides,,85,46,0,
428,Chi-Hyun,220307,W MOYAMENSING AVE,2,TRUE,None,One side,One side,,26,18,0,
429,Chi-Hyun,220169,OREGON AVE,4,TRUE,Painted,Both sides,Both sides,,85,46,0,
430,Chi-Hyun,220937,OREGON AVE,4,TRUE,Painted,Both sides,Both sides,,85,46,0,
431,Chi-Hyun,220931,OREGON AVE,5,TRUE,Painted,Both sides,Both sides,,84,52,0,
432,Chi-Hyun,341558,SNYDER AVE,2,FALSE,Painted,Both sides,Both sides,,45,20,0,
433,Chi-Hyun,342253,S FRONT ST,1,FALSE,Sharrow,Both sides,Both sides,,31,14,0,
434,Chi-Hyun,342555,S CHRISTOPHER COLUMBUS BLVD,8,TRUE,Painted,None,Both sides,,166,91,25,
435,Chi-Hyun,342556,S CHRISTOPHER COLUMBUS BLVD,6,TRUE,Painted,None,Both sides,,131,78,21,
436,Chi-Hyun,200349,S 74TH ST,3,FALSE,None,Both sides,Both sides,2022,52,35,0,
437,Chi-Hyun,221288,S 70TH ST,2,TRUE,None,One side,One side,,68,51,0,
438,Chi-Hyun,221117,LINDBERGH BLVD,5,TRUE,Painted,None,One side,,92,46,12,
439,Chi-Hyun,220496,S 20TH ST,3,FALSE,Painted,Both sides,Both sides,,73,38,4,
440,Chi-Hyun,240051,S 7TH ST,3,FALSE,None,Both sides,Both sides,,73,50,0,
441,Chi-Hyun,240093,S 3RD ST,1,FALSE,None,Both sides,One side,,36,21,0,
442,Chi-Hyun,240054,S FRONT ST,4,FALSE,None,Both sides,None,,84,43,41,
443,Chi-Hyun,240556,S CHRISTOPHER COLUMBUS BLVD,4,FALSE,None,Both sides,One side,,54,44,0,
444,Chi-Hyun,221285,LANGLEY AVE,2,FALSE,None,None,One side,,30,22,0,
445,Chi-Hyun,240466,PATTISON AVE,4,TRUE,Painted,None,One side,,68,45,8,
446,Chi-Hyun,120014,PENROSE AVE,1,FALSE,None,None,None,,32,17,15,
