seg_id,st_name,st_type,class,responsibl,full_street_name,full_street_name_clean,total_crashes,crashes_2020,crashes_2021,crashes_2022,crashes_2023,crashes_2024,ksi_crashes,fatal_crashes,serious_inj,minor_inj,poss_inj,pdo_crashes,ped_crashes,bike_crashes,vru_crashes,speeding,alcohol,dark,peak_crash,offpk_crash,am_peak,pm_peak,midday,evening,night,weekend,weekday,spd_lim_md,lane_ct_md,ksi_rate,fatal_rate,ped_rate,bike_rate,vru_rate,spd_rate,alc_rate,dark_rate,offpk_share,wknd_share,crash_py,ksi_py
413782,CONESTOGA,WAY,12,PHA,CONESTOGA WAY,CONESTOGA WAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413783,JEFFERSON,ST,5,PRIVATE,JEFFERSON ST,JEFFERSON ST,11,2,2,1,2,4,1,1,0,5,1,2,3,0,3,1,1,5,1,10,0,1,1,3,2,3,8,35,2,9.090909090909092,9.090909090909092,27.27272727272727,0,27.27272727272727,9.090909090909092,9.090909090909092,45.45454545454545,90.9090909090909,27.27272727272727,2.2,0.2
420001,BELMONT,AVE,2,FAIRMOUNT PARK,BELMONT AVE,BELMONT AVE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,100,100,0.2,0
420002,BELMONT,AVE,2,FAIRMOUNT PARK,BELMONT AVE,BELMONT AVE,4,1,0,2,1,0,0,0,0,3,0,0,0,1,1,0,0,1,2,2,0,2,2,0,0,0,4,35,2,0,0,0,25,25,0,0,25,50,0,0.8,0
420005,LANSDOWNE,DR,3,FAIRMOUNT PARK,LANSDOWNE DR,LANSDOWNE DR,8,2,2,0,1,3,1,0,1,4,0,1,0,0,0,2,0,3,1,7,0,1,2,0,3,5,3,25,0,12.5,0,0,0,0,25,0,37.5,87.5,62.5,1.6,0.2
420006,BELMONT,AVE,2,FAIRMOUNT PARK,BELMONT AVE,BELMONT AVE,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1,1,0,1,1,35,0,0,0,0,0,0,0,0,50,100,50,0.4,0
420007,PARKSIDE,AVE,3,STATE,PARKSIDE AVE,PARKSIDE AVE,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,2,35,3,0,0,0,0,0,0,0,50,100,0,0.4,0
420008,32ND,ST,5,CITY,32ND ST,32ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420010,28TH,ST,4,CITY,28TH ST,28TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420011,PARKSIDE,AVE,3,STATE,PARKSIDE AVE,PARKSIDE AVE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0.2,0
420012,27TH,ST,4,CITY,27TH ST,27TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420013,23RD,ST,4,CITY,23RD ST,23RD ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420014,SEYBERT,ST,5,CITY,SEYBERT ST,SEYBERT ST,5,0,3,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,2,3,0,2,0,1,0,2,3,20,0,0,0,0,0,0,0,20,0,60,40,1,0
420015,THOMPSON,ST,4,CITY,THOMPSON ST,THOMPSON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420016,THOMPSON,ST,4,CITY,THOMPSON ST,THOMPSON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420017,27TH,ST,4,CITY,27TH ST,27TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420018,PARKSIDE,AVE,3,STATE,PARKSIDE AVE,PARKSIDE AVE,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,35,0,0,0,0,0,0,0,0,0,0,50,0.4,0
420019,25TH,ST,4,CITY,25TH ST,25TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420020,THOMPSON,ST,4,CITY,THOMPSON ST,THOMPSON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420022,22ND,ST,3,CITY,22ND ST,22ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420023,SEYBERT,ST,5,CITY,SEYBERT ST,SEYBERT ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420024,THOMPSON,ST,4,CITY,THOMPSON ST,THOMPSON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420025,THOMPSON,ST,4,CITY,THOMPSON ST,THOMPSON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420026,28TH,ST,4,CITY,28TH ST,28TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420027,24TH,ST,4,CITY,24TH ST,24TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420028,THOMPSON,ST,4,CITY,THOMPSON ST,THOMPSON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420029,41ST ST,DR,3,FAIRMOUNT PARK,41ST ST DR,41ST ST DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420030,BELMONT,AVE,2,STATE,BELMONT AVE,BELMONT AVE,3,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,3,0,0,0,0,1,0,3,35,0,0,0,0,0,0,0,33.33333333333333,66.66666666666666,100,0,0.6,0
420031,PARKSIDE,AVE,3,STATE,PARKSIDE AVE,PARKSIDE AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420032,33RD,ST,2,STATE,33RD ST,33RD ST,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,25,0,0,0,0,0,0,0,0,100,100,0,0.2,0
420034,21ST,ST,4,CITY,21ST ST,21ST ST,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,20,0,0,0,0,0,0,100,0,0,100,0,0.2,0
420035,GIRARD,AVE,2,STATE,GIRARD AVE,GIRARD AVE,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,1,1,25,2,0,0,0,0,0,50,0,0,100,50,0.4,0
420036,27TH,ST,4,CITY,27TH ST,27TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
